full_name;type;alpha;seed;value;feasible
LR1_2_8_t1_40R_40V_02F_06M;t1;0.1;24;4364.32;TRUE
LR2_2_7_t2_40R_40V_02F_06M;t2;0.1;24;5909.12;TRUE
LR1_2_8_t1_40R_40V_04F_06M;t1;0.1;24;6235.6;TRUE
LR2_2_6_t2_40R_40V_04F_06M;t2;0.1;24;7999.04;TRUE
LR1_2_10_t1_60R_60V_02F_06M;t1;0.1;24;8775.54;TRUE
LR2_2_6_t2_60R_60V_02F_06M;t2;0.1;24;10422.6;TRUE
LR1_2_9_t1_60R_60V_04F_06M;t1;0.1;24;12094.81;TRUE
LR2_2_6_t2_60R_60V_04F_06M;t2;0.1;24;12215.01;TRUE
lr106_t1_08R_08V_02F_04M;t1;0.1;31;883.07;TRUE
lr208_t2_08R_08V_02F_04M;t2;0.1;31;651.63;TRUE
lr109_t1_08R_08V_04F_04M;t1;0.1;31;968.56;TRUE
lr209_t2_08R_08V_04F_04M;t2;0.1;31;836.82;TRUE
lr106_t1_12R_12V_02F_04M;t1;0.1;31;984.12;TRUE
lr209_t2_12R_12V_02F_04M;t2;0.1;31;981.05;TRUE
lr109_t1_12R_12V_04F_04M;t1;0.1;31;1394.99;TRUE
lr210_t2_12R_12V_04F_04M;t2;0.1;31;1335.64;TRUE
LR1_2_8_t1_40R_40V_02F_06M;t1;0.1;31;4754.12;TRUE
LR2_2_7_t2_40R_40V_02F_06M;t2;0.1;31;5987.14;TRUE
LR1_2_8_t1_40R_40V_04F_06M;t1;0.1;31;6178.3;TRUE
LR2_2_6_t2_40R_40V_04F_06M;t2;0.1;31;7944.78;TRUE
LR1_2_10_t1_60R_60V_02F_06M;t1;0.1;31;8693.92;TRUE
LR2_2_6_t2_60R_60V_02F_06M;t2;0.1;31;10540.17;TRUE
LR1_2_9_t1_60R_60V_04F_06M;t1;0.1;31;11853.27;TRUE
LR2_2_6_t2_60R_60V_04F_06M;t2;0.1;31;12114.95;TRUE
lr106_t1_08R_08V_02F_04M;t1;0.1;38;883.07;TRUE
lr208_t2_08R_08V_02F_04M;t2;0.1;38;652.32;TRUE
lr109_t1_08R_08V_04F_04M;t1;0.1;38;968.56;TRUE
lr209_t2_08R_08V_04F_04M;t2;0.1;38;836.82;TRUE
lr106_t1_12R_12V_02F_04M;t1;0.1;38;984.12;TRUE
lr209_t2_12R_12V_02F_04M;t2;0.1;38;988.33;TRUE
lr109_t1_12R_12V_04F_04M;t1;0.1;38;1394.99;TRUE
lr210_t2_12R_12V_04F_04M;t2;0.1;38;1342.26;TRUE
LR1_2_8_t1_40R_40V_02F_06M;t1;0.1;38;4638.79;TRUE
LR2_2_7_t2_40R_40V_02F_06M;t2;0.1;38;5858.15;TRUE
LR1_2_8_t1_40R_40V_04F_06M;t1;0.1;38;6244.27;TRUE
LR2_2_6_t2_40R_40V_04F_06M;t2;0.1;38;7946.74;TRUE
LR1_2_10_t1_60R_60V_02F_06M;t1;0.1;38;8703.4;TRUE
LR2_2_6_t2_60R_60V_02F_06M;t2;0.1;38;10689.83;TRUE
LR1_2_9_t1_60R_60V_04F_06M;t1;0.1;38;12192.64;TRUE
LR2_2_6_t2_60R_60V_04F_06M;t2;0.1;38;12253.16;TRUE
lr106_t1_08R_08V_02F_04M;t1;0.1;45;883.07;TRUE
lr208_t2_08R_08V_02F_04M;t2;0.1;45;651.93;TRUE
lr109_t1_08R_08V_04F_04M;t1;0.1;45;968.56;TRUE
lr209_t2_08R_08V_04F_04M;t2;0.1;45;836.82;TRUE
lr106_t1_12R_12V_02F_04M;t1;0.1;45;984.12;TRUE
lr209_t2_12R_12V_02F_04M;t2;0.1;45;983.46;TRUE
lr109_t1_12R_12V_04F_04M;t1;0.1;45;1394.99;TRUE
lr210_t2_12R_12V_04F_04M;t2;0.1;45;1335.33;TRUE
LR1_2_8_t1_40R_40V_02F_06M;t1;0.1;45;4699.51;TRUE
LR2_2_7_t2_40R_40V_02F_06M;t2;0.1;45;6044.34;TRUE
LR1_2_8_t1_40R_40V_04F_06M;t1;0.1;45;6171.87;TRUE
LR2_2_6_t2_40R_40V_04F_06M;t2;0.1;45;7828.76;TRUE
LR1_2_10_t1_60R_60V_02F_06M;t1;0.1;45;8684.02;TRUE
LR2_2_6_t2_60R_60V_02F_06M;t2;0.1;45;10825.39;TRUE
LR1_2_9_t1_60R_60V_04F_06M;t1;0.1;45;12067.47;TRUE
LR2_2_6_t2_60R_60V_04F_06M;t2;0.1;45;12053.57;TRUE
lr106_t1_08R_08V_02F_04M;t1;0.1;52;883.07;TRUE
lr208_t2_08R_08V_02F_04M;t2;0.1;52;660.35;TRUE
lr109_t1_08R_08V_04F_04M;t1;0.1;52;968.56;TRUE
lr209_t2_08R_08V_04F_04M;t2;0.1;52;836.82;TRUE
lr106_t1_12R_12V_02F_04M;t1;0.1;52;984.12;TRUE
lr209_t2_12R_12V_02F_04M;t2;0.1;52;994.92;TRUE
lr109_t1_12R_12V_04F_04M;t1;0.1;52;1394.97;TRUE
