full_name;type;alpha;seed;value;feasible
lr110_t1_12R_12V_02I_04M;t1;0.1;38;971.55;TRUE
lr207_t2_12R_12V_02I_04M;t2;0.1;38;870.5;TRUE
lr108_t1_12R_12V_04I_04M;t1;0.1;38;833.35;TRUE
lr207_t2_12R_12V_04I_04M;t2;0.1;38;876.21;TRUE
LR1_2_8_t1_40R_40V_02I_06M;t1;0.1;38;3924.05;TRUE
LR2_2_10_t2_40R_40V_02I_06M;t2;0.1;38;6426.51;TRUE
LR1_2_8_t1_40R_40V_04I_06M;t1;0.1;38;3432.71;TRUE
LR2_2_6_t2_40R_40V_04I_06M;t2;0.1;38;6164.03;TRUE
LR1_2_9_t1_60R_60V_02I_06M;t1;0.1;38;6690.18;TRUE
LR2_2_10_t2_60R_60V_02I_06M;t2;0.1;38;10689.87;TRUE
LR1_2_9_t1_60R_60V_04I_06M;t1;0.1;38;6989.92;TRUE
LR2_2_8_t2_60R_60V_04I_06M;t2;0.1;38;7363.36;TRUE
lr106_t1_08R_08V_02I_04M;t1;0.1;45;602.78;TRUE
lr208_t2_08R_08V_02I_04M;t2;0.1;45;549.98;TRUE
lr109_t1_08R_08V_04I_04M;t1;0.1;45;555.44;TRUE
lr208_t2_08R_08V_04I_04M;t2;0.1;45;621.9;TRUE
lr110_t1_12R_12V_02I_04M;t1;0.1;45;971.55;TRUE
lr207_t2_12R_12V_02I_04M;t2;0.1;45;872.22;TRUE
lr108_t1_12R_12V_04I_04M;t1;0.1;45;833.87;TRUE
lr207_t2_12R_12V_04I_04M;t2;0.1;45;875.29;TRUE
LR1_2_8_t1_40R_40V_02I_06M;t1;0.1;45;3832.08;TRUE
LR2_2_10_t2_40R_40V_02I_06M;t2;0.1;45;6275.54;TRUE
LR1_2_8_t1_40R_40V_04I_06M;t1;0.1;45;3295.41;TRUE
LR2_2_6_t2_40R_40V_04I_06M;t2;0.1;45;5985.71;TRUE
LR1_2_9_t1_60R_60V_02I_06M;t1;0.1;45;6645.81;TRUE
LR2_2_10_t2_60R_60V_02I_06M;t2;0.1;45;10425.31;TRUE
LR1_2_9_t1_60R_60V_04I_06M;t1;0.1;45;7028.76;TRUE
LR2_2_8_t2_60R_60V_04I_06M;t2;0.1;45;7450.28;TRUE
lr106_t1_08R_08V_02I_04M;t1;0.1;52;602.78;TRUE
lr208_t2_08R_08V_02I_04M;t2;0.1;52;557.12;TRUE
lr109_t1_08R_08V_04I_04M;t1;0.1;52;555.44;TRUE
lr208_t2_08R_08V_04I_04M;t2;0.1;52;622.65;TRUE
lr110_t1_12R_12V_02I_04M;t1;0.1;52;971.55;TRUE
lr207_t2_12R_12V_02I_04M;t2;0.1;52;864.38;TRUE
lr108_t1_12R_12V_04I_04M;t1;0.1;52;833.87;TRUE
lr207_t2_12R_12V_04I_04M;t2;0.1;52;876.56;TRUE
LR1_2_8_t1_40R_40V_02I_06M;t1;0.1;52;3778.24;TRUE
LR2_2_10_t2_40R_40V_02I_06M;t2;0.1;52;6272.45;TRUE
LR1_2_8_t1_40R_40V_04I_06M;t1;0.1;52;3305.71;TRUE
LR2_2_6_t2_40R_40V_04I_06M;t2;0.1;52;6027.06;TRUE
LR1_2_9_t1_60R_60V_02I_06M;t1;0.1;52;6586.93;TRUE
LR2_2_10_t2_60R_60V_02I_06M;t2;0.1;52;10484.07;TRUE
LR1_2_9_t1_60R_60V_04I_06M;t1;0.1;52;7132.58;TRUE
LR2_2_8_t2_60R_60V_04I_06M;t2;0.1;52;6749.93;TRUE
lr106_t1_08R_08V_02I_04M;t1;0.1;59;602.78;TRUE
lr208_t2_08R_08V_02I_04M;t2;0.1;59;556.95;TRUE
lr109_t1_08R_08V_04I_04M;t1;0.1;59;555.44;TRUE
lr208_t2_08R_08V_04I_04M;t2;0.1;59;622.96;TRUE
lr110_t1_12R_12V_02I_04M;t1;0.1;59;971.55;TRUE
lr207_t2_12R_12V_02I_04M;t2;0.1;59;872.34;TRUE
lr108_t1_12R_12V_04I_04M;t1;0.1;59;833.87;TRUE
lr207_t2_12R_12V_04I_04M;t2;0.1;59;885.98;TRUE
LR1_2_8_t1_40R_40V_02I_06M;t1;0.1;59;3850.03;TRUE
LR2_2_10_t2_40R_40V_02I_06M;t2;0.1;59;6273.71;TRUE
LR1_2_8_t1_40R_40V_04I_06M;t1;0.1;59;3350.27;TRUE
LR2_2_6_t2_40R_40V_04I_06M;t2;0.1;59;6115.24;TRUE
LR1_2_9_t1_60R_60V_02I_06M;t1;0.1;59;6509.36;TRUE
LR2_2_10_t2_60R_60V_02I_06M;t2;0.1;59;10393.76;TRUE
LR1_2_9_t1_60R_60V_04I_06M;t1;0.1;59;6900.1;TRUE
LR2_2_8_t2_60R_60V_04I_06M;t2;0.1;59;7348.3;TRUE
lr106_t1_08R_08V_02I_04M;t1;0.1;66;602.78;TRUE
lr208_t2_08R_08V_02I_04M;t2;0.1;66;550.16;TRUE
lr109_t1_08R_08V_04I_04M;t1;0.1;66;555.44;TRUE
lr208_t2_08R_08V_04I_04M;t2;0.1;66;620.49;TRUE
lr110_t1_12R_12V_02I_04M;t1;0.1;66;971.55;TRUE
lr207_t2_12R_12V_02I_04M;t2;0.1;66;875.19;TRUE
lr108_t1_12R_12V_04I_04M;t1;0.1;66;833.35;TRUE
lr207_t2_12R_12V_04I_04M;t2;0.1;66;844.39;TRUE
LR1_2_8_t1_40R_40V_02I_06M;t1;0.1;66;3820.04;TRUE
LR2_2_10_t2_40R_40V_02I_06M;t2;0.1;66;6214.07;TRUE
LR1_2_8_t1_40R_40V_04I_06M;t1;0.1;66;3345.99;TRUE
LR2_2_6_t2_40R_40V_04I_06M;t2;0.1;66;6020.47;TRUE
LR1_2_9_t1_60R_60V_02I_06M;t1;0.1;66;6541.8;TRUE
LR2_2_10_t2_60R_60V_02I_06M;t2;0.1;66;10629.25;TRUE
LR1_2_9_t1_60R_60V_04I_06M;t1;0.1;66;7059.8;TRUE
LR2_2_8_t2_60R_60V_04I_06M;t2;0.1;66;6768.12;TRUE
lr106_t1_08R_08V_02I_04M;t1;0.1;73;602.78;TRUE
lr208_t2_08R_08V_02I_04M;t2;0.1;73;551.18;TRUE
lr109_t1_08R_08V_04I_04M;t1;0.1;73;555.44;TRUE
lr208_t2_08R_08V_04I_04M;t2;0.1;73;621.72;TRUE
lr110_t1_12R_12V_02I_04M;t1;0.1;73;971.55;TRUE
lr207_t2_12R_12V_02I_04M;t2;0.1;73;873.8;TRUE
lr108_t1_12R_12V_04I_04M;t1;0.1;73;833.35;TRUE
lr207_t2_12R_12V_04I_04M;t2;0.1;73;872.48;TRUE
LR1_2_8_t1_40R_40V_02I_06M;t1;0.1;73;3651;TRUE
LR2_2_10_t2_40R_40V_02I_06M;t2;0.1;73;6237.63;TRUE
LR1_2_8_t1_40R_40V_04I_06M;t1;0.1;73;3299.07;TRUE
LR2_2_6_t2_40R_40V_04I_06M;t2;0.1;73;6252.11;TRUE
LR1_2_9_t1_60R_60V_02I_06M;t1;0.1;73;6704.06;TRUE
LR2_2_10_t2_60R_60V_02I_06M;t2;0.1;73;10869.09;TRUE
LR1_2_9_t1_60R_60V_04I_06M;t1;0.1;73;7128.45;TRUE
LR2_2_8_t2_60R_60V_04I_06M;t2;0.1;73;7130.91;TRUE
lr106_t1_08R_08V_02I_04M;t1;0.1;80;602.78;TRUE
lr208_t2_08R_08V_02I_04M;t2;0.1;80;555.89;TRUE
lr109_t1_08R_08V_04I_04M;t1;0.1;80;555.44;TRUE
lr208_t2_08R_08V_04I_04M;t2;0.1;80;620.73;TRUE
lr110_t1_12R_12V_02I_04M;t1;0.1;80;971.55;TRUE
lr207_t2_12R_12V_02I_04M;t2;0.1;80;873.1;TRUE
lr108_t1_12R_12V_04I_04M;t1;0.1;80;833.87;TRUE
lr207_t2_12R_12V_04I_04M;t2;0.1;80;875.37;TRUE
LR1_2_8_t1_40R_40V_02I_06M;t1;0.1;80;3737.99;TRUE
LR2_2_10_t2_40R_40V_02I_06M;t2;0.1;80;6118.75;TRUE
LR1_2_8_t1_40R_40V_04I_06M;t1;0.1;80;3349.76;TRUE
LR2_2_6_t2_40R_40V_04I_06M;t2;0.1;80;6149.48;TRUE
LR1_2_9_t1_60R_60V_02I_06M;t1;0.1;80;6701.55;TRUE
LR2_2_10_t2_60R_60V_02I_06M;t2;0.1;80;10356;TRUE
LR1_2_9_t1_60R_60V_04I_06M;t1;0.1;80;7108.69;TRUE
LR2_2_8_t2_60R_60V_04I_06M;t2;0.1;80;7305.27;TRUE
lr106_t1_08R_08V_02I_04M;t1;0.1;87;602.78;TRUE
lr208_t2_08R_08V_02I_04M;t2;0.1;87;563.07;TRUE
lr109_t1_08R_08V_04I_04M;t1;0.1;87;555.44;TRUE
lr208_t2_08R_08V_04I_04M;t2;0.1;87;620.47;TRUE
lr110_t1_12R_12V_02I_04M;t1;0.1;87;971.55;TRUE
lr207_t2_12R_12V_02I_04M;t2;0.1;87;870.81;TRUE
lr108_t1_12R_12V_04I_04M;t1;0.1;87;833.35;TRUE
lr207_t2_12R_12V_04I_04M;t2;0.1;87;889.88;TRUE
LR1_2_8_t1_40R_40V_02I_06M;t1;0.1;87;3853.37;TRUE
