name;group;type;alpha;seed;value;feasible;total_time_elapsed;full_name;n;iteration_to_best;time_to_best;iteration;percentage_infeasible_sol;mean_LP_impr_percentage
lr203;10R_10V_04F_03M;t2;0.05;75;993.83;TRUE;225.3;lr203_t2_10R_10V_04F_03M;10;17514;66.53;60000;0;13.52
lr203;10R_10V_04F_04M;t2;0.05;75;991.97;TRUE;238.66;lr203_t2_10R_10V_04F_04M;10;17514;70.1;60000;0;13.64
lr204;10R_10V_04F_03M;t2;0.05;75;967.95;TRUE;224.36;lr204_t2_10R_10V_04F_03M;10;48268;180.59;60000;0;5.24
lr204;10R_10V_04F_04M;t2;0.05;75;959.53;TRUE;233.38;lr204_t2_10R_10V_04F_04M;10;48268;187.97;60000;0;5.5
lr205;10R_10V_04F_03M;t2;0.05;75;1048.76;TRUE;184.81;lr205_t2_10R_10V_04F_03M;10;1037;3.68;60000;0.01;23.12
lr205;10R_10V_04F_04M;t2;0.05;75;1037.32;TRUE;193.54;lr205_t2_10R_10V_04F_04M;10;1037;3.74;60000;0;23.25
lr101;12R_12V_02F_03M;t1;0.05;75;1444.04;TRUE;139.22;lr101_t1_12R_12V_02F_03M;12;19;0.36;60000;10.04;23.23
lr101;12R_12V_02F_04M;t1;0.05;75;1437.74;TRUE;145.31;lr101_t1_12R_12V_02F_04M;12;60;0.45;60000;10.04;23.36
lr102;12R_12V_02F_03M;t1;0.05;75;1404.9;TRUE;84.99;lr102_t1_12R_12V_02F_03M;12;42;0.36;60000;50.12;14.4
lr102;12R_12V_02F_04M;t1;0.05;75;1397.72;TRUE;88.37;lr102_t1_12R_12V_02F_04M;12;3844;5.99;60000;50.12;14.41
lr103;12R_12V_02F_03M;t1;0.05;75;1138.94;TRUE;117.76;lr103_t1_12R_12V_02F_03M;12;6791;13.61;60000;34.91;10.51
lr103;12R_12V_02F_04M;t1;0.05;75;1126.46;TRUE;134.34;lr103_t1_12R_12V_02F_04M;12;4127;9.58;60000;28.04;11.16
lr104;12R_12V_02F_03M;t1;0.05;75;1233.18;TRUE;91.75;lr104_t1_12R_12V_02F_03M;12;770;1.56;60000;54.23;5.46
lr104;12R_12V_02F_04M;t1;0.05;75;1223.17;TRUE;111.12;lr104_t1_12R_12V_02F_04M;12;6131;11.59;60000;45.87;5.94
lr105;12R_12V_02F_03M;t1;0.05;75;1316.34;TRUE;55.86;lr105_t1_12R_12V_02F_03M;12;5264;5.05;60000;71.2;14.24
lr105;12R_12V_02F_04M;t1;0.05;75;1301.89;TRUE;137.38;lr105_t1_12R_12V_02F_04M;12;1;0;60000;14.02;15.15
lr201;12R_12V_02F_03M;t2;0.05;75;1411.58;TRUE;157.94;lr201_t2_12R_12V_02F_03M;12;5755;15.39;60000;0;22.19
lr201;12R_12V_02F_04M;t2;0.05;75;1411.18;TRUE;165.03;lr201_t2_12R_12V_02F_04M;12;5755;16.33;60000;0;22.23
lr202;12R_12V_02F_03M;t2;0.05;75;981.34;TRUE;182.24;lr202_t2_12R_12V_02F_03M;12;52253;158.71;60000;0;26.16
lr202;12R_12V_02F_04M;t2;0.05;75;980.34;TRUE;194.57;lr202_t2_12R_12V_02F_04M;12;52253;169.51;60000;0;26.99
lr203;12R_12V_02F_03M;t2;0.05;75;1005.56;TRUE;213.29;lr203_t2_12R_12V_02F_03M;12;21993;78.32;60000;0;15.22
lr203;12R_12V_02F_04M;t2;0.05;75;996.73;TRUE;223.99;lr203_t2_12R_12V_02F_04M;12;41132;153.47;60000;0;15.29
lr204;12R_12V_02F_03M;t2;0.05;75;925.53;TRUE;203.39;lr204_t2_12R_12V_02F_03M;12;38776;131.24;60000;0;4.64
lr204;12R_12V_02F_04M;t2;0.05;75;924.72;TRUE;213.26;lr204_t2_12R_12V_02F_04M;12;38776;137.98;60000;0;4.69
lr205;12R_12V_02F_03M;t2;0.05;75;1043.51;TRUE;186.34;lr205_t2_12R_12V_02F_03M;12;5602;17.66;60000;5.05;24.64
lr205;12R_12V_02F_04M;t2;0.05;75;1041.12;TRUE;203.48;lr205_t2_12R_12V_02F_04M;12;49384;167.52;60000;0.02;24.82
lr101;12R_12V_04F_03M;t1;0.05;75;1651.84;TRUE;17.3;lr101_t1_12R_12V_04F_03M;12;26100;7.79;60000;99.85;15.87
lr101;12R_12V_04F_04M;t1;0.05;75;1621.91;TRUE;34.48;lr101_t1_12R_12V_04F_04M;12;4865;3.16;60000;94.38;15.62
lr102;12R_12V_04F_03M;t1;0.05;75;1642.33;TRUE;23.65;lr102_t1_12R_12V_04F_03M;12;52883;20.85;60000;97.95;17.22
lr102;12R_12V_04F_04M;t1;0.05;75;1605.9;TRUE;62.99;lr102_t1_12R_12V_04F_04M;12;8176;8.9;60000;77.58;17.6
lr103;12R_12V_04F_03M;t1;0.05;75;1457.57;TRUE;124.8;lr103_t1_12R_12V_04F_03M;12;14493;30.19;60000;48.94;8.32
lr103;12R_12V_04F_04M;t1;0.05;75;1439.79;TRUE;182.91;lr103_t1_12R_12V_04F_04M;12;56398;172.04;60000;16.42;8.79
lr104;12R_12V_04F_03M;t1;0.05;75;1499.16;TRUE;60.01;lr104_t1_12R_12V_04F_03M;12;14568;14.64;60000;83.04;6.75
lr104;12R_12V_04F_04M;t1;0.05;75;1484.94;TRUE;114.31;lr104_t1_12R_12V_04F_04M;12;26440;50.4;60000;57.93;4.88
lr105;12R_12V_04F_03M;t1;0.05;75;1728.08;TRUE;17.71;lr105_t1_12R_12V_04F_03M;12;4084;1.56;60000;99.05;15.15
lr105;12R_12V_04F_04M;t1;0.05;75;1714.98;TRUE;65.67;lr105_t1_12R_12V_04F_04M;12;23267;25.28;60000;74.8;14.55
lr201;12R_12V_04F_03M;t2;0.05;75;1574.75;TRUE;190.03;lr201_t2_12R_12V_04F_03M;12;21893;69.44;60000;3.66;18.62
lr201;12R_12V_04F_04M;t2;0.05;75;1573.87;TRUE;200.58;lr201_t2_12R_12V_04F_04M;12;22528;75.63;60000;3.82;19.92
lr202;12R_12V_04F_03M;t2;0.05;75;1253.57;TRUE;236.19;lr202_t2_12R_12V_04F_03M;12;14730;58.39;60000;0.03;21.08
lr202;12R_12V_04F_04M;t2;0.05;75;1238.38;TRUE;252.53;lr202_t2_12R_12V_04F_04M;12;38717;163.35;60000;0;22.13
lr203;12R_12V_04F_03M;t2;0.05;75;1226.87;TRUE;287.8;lr203_t2_12R_12V_04F_03M;12;1580;7.82;60000;0;10.41
lr203;12R_12V_04F_04M;t2;0.05;75;1222.38;TRUE;305.99;lr203_t2_12R_12V_04F_04M;12;1580;8.5;60000;0;10.57
lr204;12R_12V_04F_03M;t2;0.05;75;1219.08;TRUE;285.04;lr204_t2_12R_12V_04F_03M;12;51058;242.36;60000;0;2.05
lr204;12R_12V_04F_04M;t2;0.05;75;1212.76;TRUE;299.73;lr204_t2_12R_12V_04F_04M;12;51058;254.84;60000;0;2.16
lr205;12R_12V_04F_03M;t2;0.05;75;1236.08;TRUE;230.73;lr205_t2_12R_12V_04F_03M;12;14406;55.89;60000;6.76;21.71
lr205;12R_12V_04F_04M;t2;0.05;75;1222.41;TRUE;255.9;lr205_t2_12R_12V_04F_04M;12;29404;125.42;60000;0.05;22.11
LR1_2_1;40R_40V_02F_05M;t1;0.05;75;9112.72;TRUE;138.42;LR1_2_1_t1_40R_40V_02F_05M;40;9632;22.49;60000;99.62;5.73
LR1_2_1;40R_40V_02F_06M;t1;0.05;75;8886.73;TRUE;230.8;LR1_2_1_t1_40R_40V_02F_06M;40;37612;144.71;60000;95.97;5.96
LR1_2_2;40R_40V_02F_05M;t1;0.05;75;7883.73;TRUE;212.2;LR1_2_2_t1_40R_40V_02F_05M;40;9343;33.18;60000;98.69;4.68
LR1_2_2;40R_40V_02F_06M;t1;0.05;75;7721.43;TRUE;281.26;LR1_2_2_t1_40R_40V_02F_06M;40;52550;246.84;60000;95.6;4.61
LR1_2_3;40R_40V_02F_05M;t1;0.05;75;6333.61;TRUE;332.65;LR1_2_3_t1_40R_40V_02F_05M;40;6855;38.71;60000;94.09;4
LR1_2_3;40R_40V_02F_06M;t1;0.05;75;5934.43;TRUE;643;LR1_2_3_t1_40R_40V_02F_06M;40;46327;496.8;60000;59.35;4.12
LR1_2_4;40R_40V_02F_05M;t1;0.05;75;5189.9;TRUE;852.93;LR1_2_4_t1_40R_40V_02F_05M;40;43130;613.68;60000;56.78;5.31
LR1_2_4;40R_40V_02F_06M;t1;0.05;75;5250.87;TRUE;1197.01;LR1_2_4_t1_40R_40V_02F_06M;40;40990;817.68;60000;24.35;5.1
LR1_2_5;40R_40V_02F_05M;t1;0.05;75;5794.84;TRUE;773.58;LR1_2_5_t1_40R_40V_02F_05M;40;15300;198.42;60000;8.26;6.43
LR1_2_5;40R_40V_02F_06M;t1;0.05;75;5959.86;TRUE;849.89;LR1_2_5_t1_40R_40V_02F_06M;40;5915;84.49;60000;2.97;6.56
LR2_2_1;40R_40V_02F_05M;t2;0.05;75;8739.02;TRUE;977.49;LR2_2_1_t2_40R_40V_02F_05M;40;20635;337.5;60000;13.32;6.81
LR2_2_1;40R_40V_02F_06M;t2;0.05;75;8812.3;TRUE;1064.53;LR2_2_1_t2_40R_40V_02F_06M;40;42660;757.07;60000;13.34;7.02
LR2_2_2;40R_40V_02F_05M;t2;0.05;75;7056.96;TRUE;1315.8;LR2_2_2_t2_40R_40V_02F_05M;40;23145;508.11;60000;16.81;7.31
LR2_2_2;40R_40V_02F_06M;t2;0.05;75;7190.39;TRUE;1512.3;LR2_2_2_t2_40R_40V_02F_06M;40;38348;968.4;60000;0.32;7.49
LR2_2_3;40R_40V_02F_05M;t2;0.05;75;6599.47;TRUE;1978.75;LR2_2_3_t2_40R_40V_02F_05M;40;54287;1791.67;60000;0;3.2
LR2_2_3;40R_40V_02F_06M;t2;0.05;75;6555.74;TRUE;2130.46;LR2_2_3_t2_40R_40V_02F_06M;40;49365;1753.4;60000;0;3.32
LR2_2_4;40R_40V_02F_05M;t2;0.05;75;4700.08;TRUE;3067.84;LR2_2_4_t2_40R_40V_02F_05M;40;58833;3008.31;60000;0;1.87
LR2_2_4;40R_40V_02F_06M;t2;0.05;75;4688.15;TRUE;3240.26;LR2_2_4_t2_40R_40V_02F_06M;40;58833;3176.48;60000;0;1.89
LR2_2_5;40R_40V_02F_05M;t2;0.05;75;7731.13;TRUE;1252.48;LR2_2_5_t2_40R_40V_02F_05M;40;17677;370.45;60000;0;8.77
LR2_2_5;40R_40V_02F_06M;t2;0.05;75;7725.29;TRUE;1370.67;LR2_2_5_t2_40R_40V_02F_06M;40;17677;406.79;60000;0;8.83
LR1_2_1;40R_40V_04F_05M;t1;0.05;75;NA;FALSE;105.98;LR1_2_1_t1_40R_40V_04F_05M;40;0;0;60000;100;0
LR1_2_1;40R_40V_04F_06M;t1;0.05;75;11437.75;TRUE;144.47;LR1_2_1_t1_40R_40V_04F_06M;40;1;0.02;60000;100;6.88
LR1_2_2;40R_40V_04F_05M;t1;0.05;75;9860.27;TRUE;137.46;LR1_2_2_t1_40R_40V_04F_05M;40;2946;7.16;60000;100;7.03
