name;group;type;alpha;seed;value;feasible;total_time_elapsed;full_name;n;iteration_to_best;time_to_best;iteration;percentage_infeasible_sol;mean_LP_impr_percentage
lr103;10R_10V_04I_04M;t1;0.05;24;611.6;TRUE;151.43;lr103_t1_10R_10V_04I_04M;10;87;0.56;60000;4.34;13.77
lr104;10R_10V_04I_03M;t1;0.05;24;745.94;TRUE;134.18;lr104_t1_10R_10V_04I_03M;10;34747;78.1;60000;9.9;12.95
lr104;10R_10V_04I_04M;t1;0.05;24;745.94;TRUE;151.78;lr104_t1_10R_10V_04I_04M;10;9200;23.84;60000;0.1;12.74
lr105;10R_10V_04I_03M;t1;0.05;24;668.46;TRUE;53.8;lr105_t1_10R_10V_04I_03M;10;334;0.63;60000;66.58;14.35
lr105;10R_10V_04I_04M;t1;0.05;24;665.48;TRUE;122.99;lr105_t1_10R_10V_04I_04M;10;64;0.41;60000;9.28;15.57
lr201;10R_10V_04I_03M;t2;0.05;24;1271.26;TRUE;156.21;lr201_t2_10R_10V_04I_03M;10;10048;26.55;60000;0;21.91
lr201;10R_10V_04I_04M;t2;0.05;24;1271.26;TRUE;163.09;lr201_t2_10R_10V_04I_04M;10;5311;15.03;60000;0;22.1
lr202;10R_10V_04I_03M;t2;0.05;24;978.55;TRUE;123.75;lr202_t2_10R_10V_04I_03M;10;54816;113.07;60000;43.53;25.31
lr202;10R_10V_04I_04M;t2;0.05;24;944.47;TRUE;195.64;lr202_t2_10R_10V_04I_04M;10;50007;163.12;60000;2.94;27.84
lr203;10R_10V_04I_03M;t2;0.05;24;795.51;TRUE;230.13;lr203_t2_10R_10V_04I_03M;10;41027;157.39;60000;0;15.26
lr203;10R_10V_04I_04M;t2;0.05;24;787.74;TRUE;249.8;lr203_t2_10R_10V_04I_04M;10;7590;31.99;60000;0;16.69
lr204;10R_10V_04I_03M;t2;0.05;24;785.36;TRUE;247.27;lr204_t2_10R_10V_04I_03M;10;33888;139.98;60000;0;8.52
lr204;10R_10V_04I_04M;t2;0.05;24;775.54;TRUE;260.53;lr204_t2_10R_10V_04I_04M;10;1881;8.6;60000;0;8.27
lr205;10R_10V_04I_03M;t2;0.05;24;799.32;TRUE;181.7;lr205_t2_10R_10V_04I_03M;10;15114;46.22;60000;0;26.25
lr205;10R_10V_04I_04M;t2;0.05;24;793.52;TRUE;191.21;lr205_t2_10R_10V_04I_04M;10;50002;159.3;60000;0;26.56
lr101;12R_12V_02I_03M;t1;0.05;24;1432.08;TRUE;21.49;lr101_t1_12R_12V_02I_03M;12;58733;21.1;60000;94.36;15.99
lr101;12R_12V_02I_04M;t1;0.05;24;1391.03;TRUE;72.61;lr101_t1_12R_12V_02I_04M;12;3015;3.96;60000;58.18;16.83
lr102;12R_12V_02I_03M;t1;0.05;24;981.42;TRUE;127.59;lr102_t1_12R_12V_02I_03M;12;122;0.56;60000;6.18;14.77
lr102;12R_12V_02I_04M;t1;0.05;24;975.57;TRUE;140.57;lr102_t1_12R_12V_02I_04M;12;28;0.38;60000;0.29;14.45
lr103;12R_12V_02I_03M;t1;0.05;24;716.73;TRUE;151.5;lr103_t1_12R_12V_02I_03M;12;22505;57.58;60000;1.16;10.3
lr103;12R_12V_02I_04M;t1;0.05;24;714.59;TRUE;157.17;lr103_t1_12R_12V_02I_04M;12;4334;12.07;60000;0;10.65
lr104;12R_12V_02I_03M;t1;0.05;24;783.29;TRUE;159.49;lr104_t1_12R_12V_02I_03M;12;20154;53.97;60000;0.58;7.81
lr104;12R_12V_02I_04M;t1;0.05;24;776.1;TRUE;169.81;lr104_t1_12R_12V_02I_04M;12;43;0.4;60000;0;7.82
lr105;12R_12V_02I_03M;t1;0.05;24;1344.91;TRUE;14.53;lr105_t1_12R_12V_02I_03M;12;3874;1.29;60000;98.76;8.67
lr105;12R_12V_02I_04M;t1;0.05;24;1297.52;TRUE;33.61;lr105_t1_12R_12V_02I_04M;12;22105;12.27;60000;89.12;8.4
lr201;12R_12V_02I_03M;t2;0.05;24;1326.83;TRUE;149.77;lr201_t2_12R_12V_02I_03M;12;44841;111.88;60000;0;24.96
lr201;12R_12V_02I_04M;t2;0.05;24;1326.13;TRUE;154.97;lr201_t2_12R_12V_02I_04M;12;44841;115.93;60000;0;24.98
lr202;12R_12V_02I_03M;t2;0.05;24;885.14;TRUE;186.39;lr202_t2_12R_12V_02I_03M;12;19332;60.8;60000;0;25.59
lr202;12R_12V_02I_04M;t2;0.05;24;885.14;TRUE;195.83;lr202_t2_12R_12V_02I_04M;12;19332;63.02;60000;0;25.62
lr203;12R_12V_02I_03M;t2;0.05;24;1112.83;TRUE;222.88;lr203_t2_12R_12V_02I_03M;12;18372;68.85;60000;0;12.26
